OTU_ID,NTC1_A,BS1_01_A,BS1_02_A,BS1_03_A,BS1_04_A,BS1_06_A,BH1_01_A,BH1_02_A,RS1_01_A,RS1_02_A,RS1_03_A,RS1_04_A,RS1_05_A,RS1_06_A,RS1_07_A,RS1_08_A,R1_01_A,R1_02_A,R1_03_A,R1_04_A,R1_05_A,R1_06_A,R1_07_A,R1_08_A,R1_09_A,R1_10_A,R1_11_A,R1_12_A,R1_13_A,R1_14_A,R1_15_A,R1_16_A,Kingdom,Phylum,Class,Order,Family,Genus,Species
ZOTU27,1,821,1370,656,1478,1159,1049,1802,52,64,20,92,222,118,110,176,0,1,0,0,0,1,0,14,0,0,0,3,0,0,0,1,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__
ZOTU57,1,299,539,384,301,291,233,470,154,90,58,191,204,149,106,47,0,0,0,0,0,1,1,0,55,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Tetracladium,s__
ZOTU6,3,5,62,61,67669,89,94,3,1,0,0,0,217,9,5,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,1,k__Fungi,p__Blastocladiomycota,c__,o__,f__,g__,s__
ZOTU4,1,16,33,34,15,140,30,0,180,1313,0,27,221,690,3,11,10332,13757,1178,5940,3294,9836,1516,388,7774,3852,72,781,2406,2045,2149,377,k__Fungi,p__,c__,o__,f__,g__,s__
ZOTU32,2,273,7651,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,5,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Podospora,s__
ZOTU9,3,544,986,689,721,580,29,146,2967,1132,183,827,7673,1289,899,148,17319,598,0,0,19,285,19,5,6017,59,0,2,63,174,24,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_grisea_SH374010.07FU
ZOTU1,4,154,239,90,83,151,74,127,300,1677,39,55,1243,1661,60,111,22216,18667,4449,345,11011,11896,1144,9093,16675,16153,204,1030,4605,20216,1454,6450,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Dactylonectria,s__Dactylonectria_estremocensis_SH238190.07FU
ZOTU44,1,454,903,698,396,494,610,579,95,125,98,162,150,168,114,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,s__Solicoccozyma_terricola_SH190017.07FU
ZOTU45,1,859,727,136,84,960,59,200,104,117,36,646,418,224,51,90,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__,s__
ZOTU31,1,1,0,0,0,0,0,0,341,140,18,107,49,62,6,5,2911,240,616,133,268,577,505,414,1125,875,162,86,29,2526,791,286,k__Fungi,p__Cercozoa,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Xylaria,s__Davidiella_rosigena_SH016560.07FU
ZOTU2,2,6486,3654,95931,3717,4761,2848,3794,3444,2435,1393,4061,4238,6482,1769,1583,199,0,17,18,12,4,21,5,79,74,19,5,0,3,26,10,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_minutissima_SH196780.07FU
ZOTU47,1,318,248,420,243,98,221,415,537,200,404,759,495,225,148,182,6,0,18,0,0,0,0,0,17,0,0,3,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_fatshederae_SH180138.07FU
ZOTU33,1,679,1494,1265,618,496,515,759,255,161,176,328,409,440,102,88,12,0,0,0,5,10,0,4,21,0,1,1,0,11,3,1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Endophoma,s__Endophoma_elongata_SH245103.07FU
ZOTU5,1,0,0,98,25,3,4,1,227,136,15,185,79,0,28,157,2594,249,2999,426,1655,3658,6746,13179,1107,437,511,1850,189,5961,17648,16805,k__Fungi,p__Olpidiomycota,c__Olpidiomycetes,o__Olpidiales,f__Olpidiaceae,g__Olpidium,s__Olpidium_brassicae_SH216672.07FU
ZOTU10,1,767,1421,691,467,1375,1215,1626,291,276,491,4057,637,388,488,624,5965,1411,17796,26191,321,2110,6580,9294,1307,2663,2364,5954,58,587,12739,9023,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__Gibberella_fujikuroi_SH631251.07FU
ZOTU19,1,368,1040,647,526,210,183,645,229,93,4,206,202,142,73,109,1904,114,888,25,122,243,158,672,448,565,172,84,96,827,366,205,k__Fungi,p__,c__,o__,f__,g__,s__
ZOTU48,1,319,683,1019,349,663,67,93,54,81,103,444,150,459,249,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_elongata_SH180118.07FU
ZOTU84,0,52,111,126,154,590,88,348,68,89,48,104,58,6,0,5,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_elongata_SH180118.07FU
ZOTU138,0,148,431,6,0,18,0,0,276,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__,g__,s__
ZOTU271,0,45,171,28,3,52,102,0,3,14,0,151,36,72,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,k__Fungi,p__Cercozoa,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Protoblastenia_laeta_SH214901.07FU
ZOTU35,0,307,699,157,85,340,338,73,0,31,48,6122,26,1517,381,9,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,k__Fungi,p__Chytridiomycota,c__,o__,f__,g__,s__
ZOTU39,0,1353,1408,387,463,182,562,385,87,286,284,366,348,604,381,94,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__,s__
ZOTU203,0,350,40,36,28,54,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__,s__
ZOTU74,0,705,393,76,226,156,61,0,0,245,0,0,10,0,1241,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,g__Minimedusa,s__Minimedusa_polyspora_SH201127.07FU
ZOTU108,0,946,26,2,1,13,163,13,0,0,0,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Cladorrhinum,s__Cladorrhinum_foecundissimum_SH181907.07FU
ZOTU207,0,440,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,g__Minimedusa,s__Minimedusa_polyspora_SH201128.07FU
ZOTU95,0,452,578,381,269,495,447,1191,29,59,38,200,45,261,33,36,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_camargensis_SH180119.07FU
ZOTU15,0,3331,8889,4147,4094,4540,2672,7509,2603,1035,678,2404,1479,1372,482,740,129,2,107,3,1,2,29,22,160,10,1,29,0,11,35,42,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_exigua_SH214063.07FU
ZOTU14,0,4378,4826,1558,4087,2353,2115,3327,2826,636,1309,5666,539,4116,1201,1444,1,1,0,0,0,344,0,0,1,0,0,0,0,1,0,1,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__,g__,s__
ZOTU733,0,44,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Exidiaceae,g__,s__
ZOTU30,0,547,1055,1330,1269,1171,703,560,267,173,190,517,421,218,112,94,12,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,s__Solicoccozyma_terrea_SH190018.07FU
ZOTU38,0,47,62,28,15,16,1,78,21,11,0,0,7,11,4,3,280,84,562,36,840,841,85,185,244,1135,176,11,79,441,144,1385,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__,g__,s__
ZOTU51,0,325,429,293,237,1525,121,458,163,135,70,113,114,88,84,37,41,0,1,15,3,33,24,34,2,3,54,19,0,2,28,43,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__Gibberella_intricans_SH204421.07FU
ZOTU115,0,1315,0,18,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,8,3,0,0,0,0,0,0,10,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Waitea,s__Waitea_circinata_var._circinata_SH015963.07FU
ZOTU99,0,323,128,15,33,487,118,152,25,55,29,18,0,9,6,0,0,2,5,0,0,0,0,0,1,2,0,1,0,0,1,0,k__Fungi,p__,c__,o__,f__,g__,s__
ZOTU8,0,4439,12155,1430,2553,2323,1014,811,2626,2803,2265,9503,692,6802,2061,33,1,1,1,0,0,7,0,0,6,2,2,1,0,2,0,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Pseudaleuria,s__
ZOTU60,0,207,689,217,561,461,180,352,234,61,107,55,287,146,100,140,0,8,0,0,0,1,0,0,0,50,0,0,1,9,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__
ZOTU155,0,126,93,67,77,13,0,12,16,5,0,0,15,4,0,2,13,0,59,2,75,21,68,33,2,0,5,0,8,0,0,46,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Ophiosphaerella,s__
ZOTU110,0,172,127,56,66,120,0,112,115,125,143,45,0,204,16,37,21,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_fatshederae_SH180138.07FU
ZOTU102,0,238,337,33,18,109,0,0,27,189,96,33,380,102,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__,s__
